threads,run,run_time
2,0,37.139
2,1,36.621
2,2,36.794
2,3,35.941
2,4,35.923
2,5,35.765
2,6,36.392
2,7,36.269
2,8,36.927
2,9,36.732
4,0,19.632
4,1,19.914
4,2,19.644
4,3,19.966
4,4,20.097
4,5,20.210
4,6,20.120
4,7,19.951
4,8,19.888
4,9,20.226
8,0,11.035
8,1,11.082
8,2,11.099
8,3,11.047
8,4,11.173
8,5,11.073
8,6,11.120
8,7,11.029
8,8,11.127
8,9,10.963
16,0,6.302
16,1,6.141
16,2,6.136
16,3,6.264
16,4,6.117
16,5,6.101
16,6,6.165
16,7,6.451
16,8,6.233
16,9,6.333
32,0,4.567
32,1,4.620
32,2,4.569
32,3,4.632
32,4,4.534
32,5,4.561
32,6,4.485
32,7,4.636
32,8,4.711
32,9,4.725
64,0,5.349
64,1,5.339
64,2,5.327
64,3,5.471
64,4,5.601
64,5,5.408
64,6,5.639
64,7,5.452
64,8,5.352
64,9,5.659
128,0,15.178
128,1,13.592
128,2,14.164
128,3,9.573
128,4,13.613
128,5,13.627
128,6,9.570
128,7,11.890
128,8,13.280
128,9,13.272
